hanzi,pinyin,translation_eng,example_sentence_1_hanzi,example_sentence_1_pinyin,example_sentence_1_eng,example_sentence_2_hanzi,example_sentence_2_pinyin,example_sentence_2_eng
妈,mā,"ma; mom; mother","我妈做的饭最好吃。","wǒ mā zuò de fàn zuì hǎochī.","The food my mom makes is the most delicious.","妈，我回来了！","Mā, wǒ huílai le!","Mom, I'm home!"
三,sān,"three; 3","我有三个苹果。","wǒ yǒu sān ge píngguǒ.","I have three apples.","我们三个人一起去。","wǒmen sān ge rén yīqǐ qù.","The three of us will go together."
拿,ná,"to hold; to seize; to catch; to apprehend; to take; (used in the same way as 把[ba3]: to mark the following noun as a direct object)","请帮我拿下那个杯子。","qǐng bāng wǒ ná xià nàge bēizi.","Please help me get that cup.","他手里拿着一本书。","tā shǒu lǐ ná zhe yī běn shū.","He is holding a book in his hand."
可能,kěnéng,"might (happen); possible; probable; possibility; probability; maybe; perhaps; CL:個|个[ge4]","他可能已经走了。","tā kěnéng yǐjīng zǒu le.","He might have already left.","这完全是可能的。","zhè wánquán shì kěnéng de.","This is entirely possible."
这里,zhèlǐ,"here","请在这里等我。","qǐng zài zhèlǐ děng wǒ.","Please wait for me here.","这里的风景很美。","zhèlǐ de fēngjǐng hěn měi.","The scenery here is beautiful."
出来,chūlái,"to come out; to appear; to arise","他从房间里出来了。","tā cóng fángjiān lǐ chūlái le.","He came out of the room.","问题出来了，我们需要解决。","wèntí chūlái le, wǒmen xūyào jiějué.","A problem has arisen, we need to solve it."
问,wèn,"to ask","我想问你一个问题。","wǒ xiǎng wèn nǐ yī ge wèntí.","I want to ask you a question.","他问我叫什么名字。","tā wèn wǒ jiào shénme míngzi.","He asked me what my name is."
的话,dehuà,"if (coming after a conditional clause)","如果你有时间的话，我们去看电影吧。","rúguǒ nǐ yǒu shíjiān dehuà, wǒmen qù kàn diànyǐng ba.","If you have time, let's go watch a movie.","不想去的话，就别去了。","bù xiǎng qù dehuà, jiù bié qù le.","If you don't want to go, then don't go."
王,wáng,"king or monarch; best or strongest of its type; grand; great","他是我们这里的象棋王。","tā shì wǒmen zhèlǐ de xiàngqí wáng.","He is the chess king around here.","他姓王。","tā xìng Wáng.","His surname is Wang."
告诉,gàosu,"to tell; to inform; to let know","请告诉我你的名字。","qǐng gàosu wǒ nǐ de míngzi.","Please tell me your name.","他告诉我一个秘密。","tā gàosu wǒ yī ge mìmì.","He told me a secret."
只,zhǐ,"only; merely; just; but","我只有十块钱。","wǒ zhǐ yǒu shí kuài qián.","I only have ten yuan.","他只喝水，不喝酒。","tā zhǐ hē shuǐ, bù hē jiǔ.","He only drinks water, not alcohol."
听,tīng,"to listen; to hear; to obey; a can (loanword from English ""tin""); classifier for canned beverages","请听我说。","qǐng tīng wǒ shuō.","Please listen to me.","我喜欢听音乐。","wǒ xǐhuan tīng yīnyuè.","I like listening to music."
带,dài,"band; belt; girdle; ribbon; tire; area; zone; region; CL:條|条[tiao2]; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise","出门记得带钥匙。","chūmén jìde dài yàoshi.","Remember to bring your keys when you go out.","他带着孩子去公园了。","tā dài zhe háizi qù gōngyuán le.","He took the child to the park."
最,zuì,"most; the most; -est (superlative suffix)","这是我最喜欢的书。","zhè shì wǒ zuì xǐhuan de shū.","This is my favorite book.","他跑得最快。","tā pǎo de zuì kuài.","He runs the fastest."
一样,yīyàng,"same; like; equal to; the same as; just like","我们俩的爱好一样。","wǒmen liǎ de àihào yīyàng.","The two of us have the same hobbies.","他看起来跟他爸爸一样。","tā kàn qǐlai gēn tā bàba yīyàng.","He looks just like his father."
死,sǐ,"to die; impassable; uncrossable; inflexible; rigid; extremely; damned","那棵树死了。","nà kē shù sǐ le.","That tree died.","我累死了。","wǒ lèi sǐ le.","I'm extremely tired (dead tired)."
钱,qián,"coin; money; CL:筆|笔[bi3]; unit of weight, one tenth of a tael 兩|两[liang3]","这件衣服多少钱？","zhè jiàn yīfu duōshǎo qián?","How much does this piece of clothing cost?","我没有带钱。","wǒ méiyǒu dài qián.","I didn't bring any money."
只是,zhǐshì,"merely; simply; only; but","我只是看看，不买。","wǒ zhǐshì kànkan, bù mǎi.","I'm just looking, not buying.","他不是坏，只是有点懒。","tā bù shì huài, zhǐshì yǒu diǎn lǎn.","He's not bad, just a bit lazy."
不过,bùguò,"only; merely; no more than; but; however; anyway (to get back to a previous topic); cannot be more (after adjectival)","他只不过是个孩子。","tā zhǐ bùguò shì ge háizi.","He is merely a child.","这儿风景不错，不过交通不太方便。","zhèr fēngjǐng bùcuò, bùguò jiāotōng bù tài fāngbiàn.","The scenery here is nice, however, the transportation isn't very convenient."
哥,gē,"elder brother","他是我哥。","tā shì wǒ gē.","He is my elder brother.","大哥，你好！","dàgē, nǐ hǎo!","Hello, big brother!"
不用,bùyòng,"need not","不用谢。","bùyòng xiè.","You're welcome (no need for thanks).","你不用担心我。","nǐ bùyòng dānxīn wǒ.","You don't need to worry about me."
像,xiàng,"to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.)","她长得像她妈妈。","tā zhǎng de xiàng tā māma.","She looks like her mother.","天阴了，像要下雨了。","tiān yīn le, xiàng yào xià yǔ le.","The sky is overcast, it looks like it's going to rain."
用,yòng,"to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore","我可以用你的笔吗？","wǒ kěyǐ yòng nǐ de bǐ ma?","Can I use your pen?","这个方法很有用。","zhège fāngfǎ hěn yǒuyòng.","This method is very useful."
点,diǎn,"point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更[geng1]; dot stroke in Chinese characters; classifier for items","现在是下午三点。","xiànzài shì xiàwǔ sān diǎn.","It's three o'clock in the afternoon.","你想点什么菜？","nǐ xiǎng diǎn shénme cài?","What dishes would you like to order?"
讲,jiǎng,"to speak; to explain; to negotiate; to emphasise; to be particular about; as far as sth is concerned; speech; lecture","老师在讲课。","lǎoshī zài jiǎng kè.","The teacher is giving a lecture.","你能给我讲讲这个故事吗？","nǐ néng gěi wǒ jiǎngjiang zhège gùshi ma?","Can you tell me this story?"
大家,dàjiā,"everyone; influential family; great expert","大家好！","dàjiā hǎo!","Hello everyone!","请大家安静。","qǐng dàjiā ānjìng.","Everyone please be quiet."
东西,dōngxi,"thing; stuff; person; CL:個|个[ge4],件[jian4]","这是什么东西？","zhè shì shénme dōngxi?","What is this thing?","我需要买一些东西。","wǒ xūyào mǎi yīxiē dōngxi.","I need to buy some things."
当,dāng,"to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at","他想当一名医生。","tā xiǎng dāng yī míng yīshēng.","He wants to be a doctor.","当我到家时，他已经走了。","dāng wǒ dào jiā shí, tā yǐjīng zǒu le.","When I got home, he had already left."
当,dàng,"at or in the very same...; suitable; adequate; fitting; proper; to replace; to regard as; to think; to pawn; (coll.) to fail (a student)","我把他当作朋友。","wǒ bǎ tā dàngzuò péngyou.","I regard him as a friend.","这个价格很适当。","zhège jiàgé hěn shìdàng.","This price is quite suitable."
没事,méishì,"it's not important; it's nothing; never mind; to have nothing to do; to be free; to be all right (out of danger or trouble)","对不起。— 没事。","duìbuqǐ. — méishì.","I'm sorry. — It's okay/Never mind.","你今天下午没事吧？","nǐ jīntiān xiàwǔ méishì ba?","Are you free this afternoon?"
时间,shíjiān,"time; period; CL:段[duan4]","我没有时间。","wǒ méiyǒu shíjiān.","I don't have time.","时间过得真快。","shíjiān guò de zhēn kuài.","Time passes so quickly."
呀,ya,"(particle equivalent to 啊 after a vowel, expressing surprise or doubt)","好漂亮呀！","hǎo piàoliang ya!","How beautiful!","是呀，我也这么觉得。","shì ya, wǒ yě zhème juéde.","Yes, I think so too."
一直,yīzhí,"straight (in a straight line); continuously; always; from the beginning of ... up to ...; all along","请一直往前走。","qǐng yīzhí wǎng qián zǒu.","Please go straight ahead.","他一直很努力。","tā yīzhí hěn nǔlì.","He has always been hardworking."
问题,wèntí,"question; problem; issue; topic; CL:個|个[ge4]","我有一个问题。","wǒ yǒu yī ge wèntí.","I have a question.","这个问题很难解决。","zhège wèntí hěn nán jiějué.","This problem is difficult to solve."
到底,dàodǐ,"finally; in the end; when all is said and done; after all; to the end; to the last","你到底想怎么样？","nǐ dàodǐ xiǎng zěnmeyàng?","What on earth do you want?","这个问题到底怎么回事？","zhège wèntí dàodǐ zěnme huí shì?","What exactly is going on with this problem?"
好好,hǎohǎo,"well; carefully; nicely; properly","你要好好学习。","nǐ yào hǎohǎo xuéxí.","You need to study well.","我们好好谈谈吧。","wǒmen hǎohǎo tántan ba.","Let's have a good talk."
年,nián,"year; CL:個|个[ge4]","新年快乐！","xīnnián kuàilè!","Happy New Year!","他明年毕业。","tā míngnián bìyè.","He will graduate next year."
回去,huíqu,"to return; to go back","我该回去了。","wǒ gāi huíqu le.","I should go back now.","请把这个带回去。","qǐng bǎ zhège dài huíqu.","Please take this back."
怎么样,zěnmeyàng,"how?; how about?; how was it?; how are things?","你觉得这个主意怎么样？","nǐ juéde zhège zhǔyi zěnmeyàng?","What do you think of this idea?","最近身体怎么样？","zuìjìn shēntǐ zěnmeyàng?","How has your health been recently?"
这些,zhèxiē,"these","这些书都是我的。","zhèxiē shū dōu shì wǒ de.","These books are all mine.","这些问题我们需要讨论一下。","zhèxiē wèntí wǒmen xūyào tǎolùn yīxià.","We need to discuss these issues."
而且,érqiě,"(not only ...) but also; moreover; in addition; furthermore","他不仅聪明，而且很努力。","tā bùjǐn cōngming, érqiě hěn nǔlì.","He is not only smart, but also very hardworking.","这个地方很美，而且很安静。","zhège dìfang hěn měi, érqiě hěn ānjìng.","This place is beautiful, and moreover, it's very quiet."
喂,wéi,"hello (when answering the phone)","喂，请问是哪位？","wéi, qǐngwèn shì nǎ wèi?","Hello, may I ask who is calling?","喂？你听得到吗？","wéi? nǐ tīngdedào ma?","Hello? Can you hear me?"
喂,wèi,"hey; to feed (an animal, baby, invalid etc)","喂，你去哪里？","wèi, nǐ qù nǎlǐ?","Hey, where are you going?","该喂猫了。","gāi wèi māo le.","It's time to feed the cat."
但,dàn,"but; yet; however; only; merely; still","他想去，但我不想去。","tā xiǎng qù, dàn wǒ bù xiǎng qù.","He wants to go, but I don't.","雨停了，但天还阴着。","yǔ tíng le, dàn tiān hái yīn zhe.","The rain has stopped, but the sky is still overcast."
喝,hē,"to drink; My goodness!","你喜欢喝茶还是咖啡？","nǐ xǐhuan hē chá háishi kāfēi?","Do you like to drink tea or coffee?","请给我一杯水喝。","qǐng gěi wǒ yī bēi shuǐ hē.","Please give me a glass of water to drink."
小姐,xiǎojie,"young lady; miss; (slang) prostitute; CL:個|个[ge4],位[wei4]","王小姐，你好。","Wáng xiǎojie, nǐ hǎo.","Hello, Miss Wang.","这位小姐是我的朋友。","zhè wèi xiǎojie shì wǒ de péngyou.","This young lady is my friend."
从,cóng,"from; through; via; to follow; to obey; to engage in (an activity); never (in negative sentence); (Taiwan pr. [zong4]) retainer; assistant; auxiliary; subordinate; related by common paternal grandfather or earlier ancestor","我从北京来。","wǒ cóng Běijīng lái.","I come from Beijing.","请从这边走。","qǐng cóng zhèbiān zǒu.","Please go this way."
